20251013	:32:07	03aed096-b252-4d00-99a0-05e90016e68a	GET	/
20251015	 17:12:09	8cf5404c-65bb-4845-b895-9dfcc43c4d33	GET	/studentRouter/
20251015	 17:12:45	bffbbb4c-1a86-41a9-8984-d43c5213a12e	GET	/studentRouter/id
20251015	 17:13:59	875bf41d-1b6c-464e-934d-a8c9d48e5d5e	GET	/studentRouter/id
20251015	 17:14:04	6ebb23f3-5cb4-4113-8ce3-5577654a900c	GET	/studentRouter/
20251015	 20:47:24	8a0d798b-92ba-49bd-94cd-121322f2efd8	GET	/studentRouter/
20251015	 20:47:45	33e81001-db39-48ed-af46-af5e0e2f2f24	GET	/studentRouter/
20251015	 20:47:54	337b02d7-9f65-4604-8cf5-79d9e3d27a90	GET	/studentRouter/
20251015	 20:48:10	b02c4681-99fb-42ab-a767-ade733c22741	GET	/studentRouter/id
20251015	 20:49:27	5de5e842-da97-476c-91a6-ad474cc26e29	GET	/studentRouter/:id
20251015	 20:50:21	5ed40119-c644-4726-95d3-065b00d11fd4	GET	/studentRouter/id
20251015	 20:50:36	03f054bf-6663-46ca-ad57-fa8467530d12	GET	/studentRouter/id
20251015	 20:57:27	2ecd66e4-5d13-48d1-9bed-25991a76da41	GET	/studentRouter/1
20251015	 20:57:32	50ce3ea1-00e7-4788-a2d0-8d46a86b49ed	GET	/studentRouter/2
20251015	 20:58:48	97c84c49-798f-422a-878d-9628feafd6ec	POST	/studentRouter/
20251015	 20:59:01	7fa62a55-bf8e-49c0-b32a-997abc1fdb63	POST	/studentRouter/
20251015	 20:59:08	3b58cb06-9d99-4e64-ba62-6d051e8e59ee	GET	/studentRouter/
20251015	 21:01:02	c80acf3d-47ee-47bb-9262-ffe2b2a16f1f	POST	/studentRouter/
20251015	 21:02:19	0b407863-88b4-4683-8f6f-98fbd80db257	POST	/studentRouter/
20251015	 21:02:30	6358ae82-4167-4125-84f1-f5c593ad22d1	POST	/studentRouter/
20251015	 21:02:49	651d1071-5dad-4ac8-b0c1-d5fab5ec0eee	POST	/studentRouter/
20251015	 21:03:07	5fed7a9e-959e-40f7-aa0b-566286bc8ce2	POST	/studentRouter/
20251015	 21:03:19	d4cfbeae-2d77-477f-b71d-bf5b5a9ce75e	GET	/studentRouter/2
20251015	 21:03:28	e227b0d4-0049-4445-9eab-83f2f2bc315a	POST	/studentRouter/2
20251015	 21:03:33	3552c7f5-bcdd-4ce2-abfd-ffb6ddc3c66c	POST	/studentRouter/
20251015	 21:03:35	6f64079c-f11a-45c3-807e-38ac82d1a42c	POST	/studentRouter/
20251015	 21:03:36	d13d498a-cb66-41d5-83e8-5b39058766e7	POST	/studentRouter/
20251015	 21:03:36	7938771d-6bfd-4c74-99c9-f9d6bac45272	POST	/studentRouter/
20251015	 21:03:36	67d8c444-0461-45d3-94b7-07afd4f562f1	POST	/studentRouter/
20251015	 21:03:37	6132c882-df52-4b07-937e-5eeb9219d01a	POST	/studentRouter/
20251015	 21:03:37	a932619d-7aed-46db-abef-38d869a478cd	POST	/studentRouter/
20251015	 21:03:37	0b3c7cc8-efcb-4d69-85b4-e0954b7fbc24	POST	/studentRouter/
20251015	 21:03:37	0e74ff60-c857-44ff-97e2-ca7fe98f12dd	POST	/studentRouter/
20251015	 21:03:37	c7a39762-a7c2-43c9-9a6e-30c6d6db0565	POST	/studentRouter/
20251015	 21:03:37	bfcfbe8e-c7d4-472d-ba55-7bf13d82c341	POST	/studentRouter/
20251015	 21:03:38	29d6abee-06b7-4b11-9078-4dda8e0e4eec	POST	/studentRouter/
20251015	 21:03:38	c35f0342-a851-49b5-95b3-a9c20a7499dd	POST	/studentRouter/
20251015	 21:03:38	200e3802-2445-4a40-9ac6-daf66c6b5e61	POST	/studentRouter/
20251015	 21:03:38	a7b109ab-0830-4f41-8408-295e51925860	POST	/studentRouter/
20251015	 21:03:38	4a22f3c6-00ae-4959-b0ac-a3bf21d48880	POST	/studentRouter/
20251015	 21:03:38	689e3d01-e211-407d-a097-3421a508f862	POST	/studentRouter/
20251015	 21:03:39	6d074de1-8237-40ba-9adc-de9b870972a5	POST	/studentRouter/
20251015	 21:03:39	52b1d49a-aeb0-468e-afd2-17f01a134b31	POST	/studentRouter/
20251015	 21:03:39	2d05e92a-43a8-4fd7-a3e8-8b92ab8fed47	POST	/studentRouter/
20251015	 21:03:39	6a39e9f5-d792-4014-956b-6eeb79a176e4	POST	/studentRouter/
20251015	 21:03:39	f6b9d07e-35aa-4382-aaae-f3bca91a2285	POST	/studentRouter/
20251015	 21:03:39	ff3bf6d9-232e-4618-ba42-f28882943330	POST	/studentRouter/
20251015	 21:03:40	c3bfdc95-6401-497b-8930-d2ec9dcc6521	POST	/studentRouter/
20251015	 21:03:40	75eb3871-4507-492d-add5-ce043ca8869f	POST	/studentRouter/
20251015	 21:03:40	150968a1-f083-48e0-ad7f-4f7582f7dca2	POST	/studentRouter/
20251015	 21:03:40	979fcf8d-c60b-4447-a859-21e53c408cd0	POST	/studentRouter/
20251015	 21:03:40	5f56efb0-45fa-4cc3-88c0-0e60d4d25b96	POST	/studentRouter/
20251015	 21:03:40	7400e507-85be-4f1a-93ae-331aeed93e8a	POST	/studentRouter/
20251015	 21:03:52	af3a06da-4e3d-4e7d-9073-0bf15b9a3bbd	GET	/studentRouter/22
20251016	 14:07:18	63a847f1-33d3-4896-9de8-60979123a8db	POST	/register
20251016	 14:07:40	330ca065-dfed-4bb8-8e9b-e49c7c411903	POST	/studentRegister
20251016	 14:08:10	39b82178-a120-4fc5-85fb-41ffc82b02f9	POST	/regsiter
20251016	 14:08:51	a59f02a4-af36-428b-a14f-4894319b80c0	POST	/regsiter
20251016	 14:11:57	ca6a088b-a45e-4cb9-9976-e834afa36eec	POST	/regsiter
20251016	 14:12:13	5baced36-fe8e-4369-b61f-cc9af549218b	POST	/studentRegister
20251016	 14:12:38	b8b6a647-4d19-4ec8-8f64-ecf4451ae438	POST	/studentRegister
20251016	 14:14:40	1822969e-8af4-4c4e-8534-1ce93c925595	POST	/studentRegister
20251016	 14:17:45	9709cee4-49a8-41fb-a812-5a44fd284871	POST	/studentRegister
20251016	 14:25:04	921e1557-b59c-45ab-9887-9a55c525512b	POST	/studentRegister
20251016	 14:30:33	0496ce3c-5d52-4e2d-ba34-46c6fb897888	POST	/studentRegister
20251016	 14:32:43	24aebfe3-f458-479b-8158-257d78824c65	POST	/studentRegister
20251016	 14:32:57	9013c703-3d44-402b-81e3-af31c80b876d	POST	/studentRegister
20251016	 14:33:18	c2251c2b-cf18-412a-96b3-043dc1b3a337	POST	/studentRegister
20251016	 14:36:50	00cb5c49-462e-402c-bbb9-184aca0cf8d1	POST	/studentRouter/
20251016	 14:37:47	b49ff8ca-5b22-4a4e-93c0-3855c98487fa	POST	/studentRouter/
20251016	 14:38:31	4cb45eb0-1878-4374-a8ca-2465882bb662	POST	/studentRouter/2
20251016	 14:38:44	634e3ccb-52a5-4554-ab98-89183ace9fb8	POST	/studentRouter/2
20251016	 14:38:49	734aa62d-4e2a-4190-b72e-6adff74d71e2	GET	/studentRouter/2
20251016	 14:59:48	edc09af7-2d4a-4721-b88a-72867de81545	GET	/studentRouter/2
20251016	 15:00:03	1b76debb-92ea-404c-81a6-38385c0c5331	POST	/auth
20251016	 22:56:02	75b1a9e2-9c1b-4bae-8764-d5184933b7d0	POST	/auth
20251016	 22:56:44	433be020-388e-4b18-b3c9-25ac76f0814c	POST	/auth
20251016	 22:58:26	945eda13-9dcd-47ea-8d9e-c20d5cd1456f	POST	/studentRegister
20251016	 22:58:36	ec33a52e-67d2-48dc-a835-72e17f51c9fc	POST	/studentRegister
20251016	 22:58:46	27a8c368-b863-48c9-b89e-c8f9605cc0a2	POST	/auth
20251016	 22:58:50	3fe4f332-8c68-429f-9638-7ab461a2c2ed	POST	/auth
